unique,hex_id,x_meter,y_meter,lv,ln_lv,ID_raw,ID,year,plt_ar,plot_area_raw,cst_ar,use,reg,corner,pot,y,x,f_x,f_y,ln_y,ln_x,pop_dens,nivelaca,estrat,puweight,prweight,slum,waste,flats,condos,dev,mat,det,reintro,mun,west,north,south,east,condo_seg,flat_seg,cod_sen,sen_x,sen_y,cod_adm,pucbd,prcbd,ln_cbd,cbd,cbd_norm,ln_lv,d_mroad,dum_mroad,d_hnach,prox_tmst,prox_bus,pumicro,pugrocerie,puban_res,puparks,puschools,puclinics,pumarkets,pumacro,pujobs,puxl_mal,puxl_groc,puuniv,pucult,puhosp,puxl_sport,prmicro,prgrocerie,prban_res,prparks,prschools,prclinics,prmarkets,prmacro,prjobs,prxl_mal,prxl_groc,pruniv,prcult,prhosp,prxl_sport,micro,groceries,ban_res,parks,schools,clinics,markets,macro,jobs,xl_mal,xl_groc,univ,cult,hosp,xl_sport,int_08,int_15,int_25,int_50,int_75,int_n,nach_08,nach_15,nach_25,nach_50,nach_75,nach_n,pumacssx,prmacssx,macssx,puint_grav,print_grav,int_grav
ob_1088,964,761974.6883,1613872.902,2580.3,7.86,8530,8.53,14,5.37,214.8628677,5.3,1,1,0,0,14.58542,-90.56846,7.285,7.424,2.68,4.51,3.79,6.3,4,0.68,0.32,0,0,7.78,7.78,0,1,0,0,1,0,0,0,0,2,0,sen_2304123,7.2838,7.4173,gc_zon_11,4.03,3.22,0.54,0.716006862,0.716006862,7.86,5.43,road_200m,4.17,0,0,0.02,0,0.08,0,0,0,0,0.77,11.7,3.76,3.37,3.43,3.61,3.4,3.78,0.18,0.45,0.09,0.14,0,0.21,0,0.73,10.91,2.71,2.3,2.3,2.94,2.2,2.71,0.07,0.15,0.08,0.05,0,0.07,0,0.76,0.51,0.76,0.83,0.85,0.79,0.85,0.79,2.37,3.23,4.56,6.17,6.93,8.2,0.83,0.71,0.68,0.67,0.67,0.66,0.79,0.78,0.79,6.18,6.15,0.61
ob_989,2393,768323.652,1621048.942,1667.1,7.42,8223,8.223,13,5.2,181.2722419,5.14,1,1,0,4,14.64962,-90.50884,7.549,7.213,2.68,4.51,4.12,6.52,4,0.51,0.49,0,0,8.47,6.68,1,0,0,0,1,0,0,0,0,2,0,sen_102073,7.5437,7.2233,gc_zon_2,3.69,2.97,0.58,0.786038431,0.786038431,7.42,5.44,road_200m,2.4,1,1,0.26,0.4,0.16,0.12,0.19,0.38,0.5,0.9,12.23,3.37,3.3,3.14,2.4,2.2,3.04,0.49,0.45,0.31,0.27,0.86,0.58,0.57,0.85,11.3,2.2,2.2,2.08,1.39,1.39,2.56,0.37,0.43,0.23,0.19,0.52,0.47,1,0.88,0.82,0.85,0.84,0.89,0.95,0.95,0.87,4.8,5.73,6.45,7.34,7.83,8.42,0.79,0.78,0.78,0.77,0.77,0.77,0.9,0.88,0.89,6.53,6.31,0.81
ob_611,965,762188.0789,1614181.827,1340.47,7.2,6442,6.442,11,5.68,292.9494299,5.45,1,0,0,3,14.58819,-90.56645,7.306,7.433,2.68,4.51,3.79,6.98,5,0.68,0.32,0,0,7.78,7.78,0,1,0,0,1,0,0,0,0,2,0,sen_2304123,7.2838,7.4173,gc_zon_11,3.98,3.18,0.55,0.733253018,0.733253018,7.2,6.09,road_400m,5.61,1,0,0,0,0,0,0.02,0,0,0.8,11.79,3.69,3.26,3.33,3.53,3.3,3.71,0.21,0.45,0.08,0.12,0.16,0.26,0,0.75,10.96,2.64,2.2,2.2,2.89,2.08,2.71,0.07,0.15,0.02,0.04,0.06,0.08,0,0.78,0.55,0.78,0.85,0.87,0.8,0.87,0.8,2.93,3.91,4.78,6.32,7.02,8.21,0.83,0.79,0.78,0.74,0.73,0.71,0.82,0.8,0.81,6.28,6.21,0.67
ob_1046,3328,773087.8615,1609248.16,1372.51,7.22,8404,8.404,13,5.9,365.0374679,5.58,1,1,1,2,14.54255,-90.46586,7.299,7.082,2.68,4.5,2.45,9.99,4,0.89,0.11,0,0,8.07,9.24,0,0,0,0,0,0,0,0,1,3,0,sen_3001052,7.3245,7.1498,cat_1,4.44,3.66,0.48,0.616074402,0.616074402,7.22,6.53,road_500m~,6.95,0,0,0,0,0,0,0,0,0,0.61,10.71,3.71,3.69,4.47,4.2,4.06,4.52,0.02,0,0.01,0.06,0.04,0,0,0.5,9.94,2.64,2.56,3.58,3.4,3.3,3.64,0,0,0,0.01,0,0,0,0.59,0.19,0.78,0.78,0.56,0.65,0.69,0.54,2.89,2.98,4.03,5.19,5.84,7.56,0.8,0.73,0.72,0.7,0.69,0.66,0.61,0.56,0.61,5.16,5.45,0.22
ob_6,3228,772389.4284,1616300.305,1663.23,7.42,4122,4.122,8,5.03,152.9330127,5.4,1,0,0,3,14.60632,-90.47161,7.354,7.451,2.68,4.51,3.56,3.47,5,0.89,0.11,0,0,8.98,9.16,1,0,0,0,1,0,0,0,0,3,2,sen_2406042,7.3706,7.4367,gc_zon_16,4.09,3.59,0.54,0.716006862,0.716006862,7.42,7.01,road_500m~,0,0,1,0.01,0,0,0,0.07,0,0,0.75,11.62,4.06,3.4,2.71,3.87,3.3,3.87,0.03,0,0.01,0.1,0.05,0,0,0.58,10.55,2.94,3.14,2.08,3.43,2.94,3.4,0.02,0,0,0.01,0.07,0,0,0.74,0.44,0.69,0.81,0.93,0.74,0.85,0.75,3.74,4.31,4.64,5.26,5.73,7.72,0.88,0.85,0.86,0.83,0.81,0.81,0.75,0.61,0.73,5.85,5.6,0.42
ob_435,3456,773501.5293,1608220.951,987.9,6.9,5585,5.585,10,5.24,188.6701024,5.12,1,1,0,5,14.53323,-90.46213,7.26,6.956,2.68,4.5,2.17,8.31,5,0.93,0.07,0,0,7.78,9.16,0,0,0,0,0,0,0,0,1,3,0,sen_3005031,7.244,6.9999,frai_1,4.2,3.58,0.53,0.698932309,0.698932309,6.9,2.04,road_100m,0,0,1,0.08,0.2,0.02,0.18,0.02,0,0,0.7,11.07,3.18,3.09,4.23,3.91,3.69,4.32,0.12,0.27,0.06,0.14,0.06,0.05,0,0.55,10.17,2.4,2.08,3.5,3.3,3.18,3.58,0.09,0.21,0.02,0.17,0.02,0,0,0.69,0.26,0.87,0.88,0.65,0.74,0.79,0.63,3.19,4.56,5.4,6.32,6.55,7.79,0.74,0.73,0.79,0.85,0.86,0.82,0.71,0.62,0.7,5.57,5.56,0.32
ob_1212,2492,768728.1679,1621605.823,1122.51,7.02,8885,8.885,14,4.99,146.9364235,5.14,1,1,1,3,14.65461,-90.50503,7.542,7.16,2.68,4.51,4.11,7.43,4,0.64,0.36,0,0,8.07,7.37,1,0,0,0,1,0,0,0,0,2,0,sen_102052,7.5384,7.1377,gc_zon_2,3.86,3.25,0.56,0.7506725,0.7506725,7.02,6.02,road_400m,5.52,0,1,0.08,0,0.07,0.12,0.03,0.13,0.5,0.86,12.11,3.43,3.37,3.22,3.09,3.04,3.33,0.31,0.27,0.2,0.16,0.54,0.32,0.57,0.81,11.22,2.3,2.3,2.08,2.4,2.08,2.83,0.16,0.1,0.12,0.13,0.22,0.19,1,0.84,0.73,0.84,0.83,0.88,0.88,0.89,0.83,4.22,5.15,5.99,7.05,7.55,8.33,0.8,0.78,0.79,0.76,0.75,0.7,0.86,0.83,0.85,6.42,6.22,0.74
ob_210,2053,766651.6207,1613469.474,2906.19,7.97,4823,4.823,9,6.36,578.2463564,6.18,1,1,0,4,14.58132,-90.52512,7.548,7.408,2.68,4.51,4.12,8.77,5,0.63,0.37,0,0,9.51,6.68,0,1,0,0,1,0,0,0,0,0,2,sen_2403031,7.5447,7.4031,gc_zon_13,3.19,2.12,0.64,0.896480879,0.896480879,7.97,4.77,road_100m,0,1,1,0.11,0.2,0.08,0.06,0.02,0.25,0,0.9,12.15,2.94,3.04,3.37,2.56,1.79,3.5,0.37,0.45,0.55,0.1,0.28,0.47,0.14,0.85,11.26,1.95,2.08,2.48,1.39,1.1,2.64,0.21,0.29,0.26,0.07,0.12,0.33,0,0.88,0.78,0.9,0.88,0.84,0.94,0.97,0.83,4.27,4.85,5.44,6.66,7.29,8.32,0.78,0.82,0.81,0.8,0.8,0.81,0.9,0.88,0.89,6.51,6.3,0.8
ob_664,430,759715.1279,1616808.939,1227.24,7.11,6625,6.625,11,5.79,327.0130244,5.71,1,0,0,3,14.61216,-90.58913,7.028,7.441,2.68,4.51,4.2,7.98,4,0.89,0.11,0,0,0,9.51,0,0,0,0,0,1,0,0,0,1,0,sen_2608032,6.932,7.4247,mix_8,4.15,3.52,0.53,0.698932309,0.698932309,7.11,5.34,road_200m,4.38,0,1,0.03,0,0.01,0,0.03,0.13,0,0.78,11.6,3.74,3,3.18,3.81,2.08,3.97,0.12,0.36,0.05,0.08,0.05,0.05,0,0.64,10.54,3.14,1.95,2.77,3.33,1.39,3.18,0.04,0.04,0.02,0.01,0.04,0.12,0,0.77,0.44,0.76,0.89,0.87,0.75,0.96,0.74,3.75,4.43,5.07,5.83,6.33,8.01,0.77,0.76,0.73,0.72,0.71,0.68,0.81,0.71,0.8,6.18,5.91,0.58
ob_1208,3591,774002.0672,1609949.166,1416.32,7.26,8869,8.869,14,5.75,314.1906603,6.02,1,0,0,4,14.54879,-90.45731,7.206,7.156,2.68,4.5,2.71,3.94,5,0.89,0.11,0,0,8.07,9.32,0,0,0,0,0,0,0,0,1,3,0,sen_3001062,7.2054,7.2068,cat_1,4.13,3.56,0.53,0.698932309,0.698932309,7.26,5.41,road_200m,3.97,0,1,0.01,0,0.05,0,0,0,0,0.73,11.32,2.77,2.71,4.16,3.81,3.76,4.25,0.11,0.27,0.06,0.12,0.02,0.05,0,0.57,10.32,2.3,2.2,3.47,3.26,3.14,3.56,0.02,0.03,0.05,0.01,0,0.01,0,0.72,0.33,0.91,0.91,0.67,0.76,0.77,0.64,3.41,4.41,5.03,6.15,6.41,7.75,0.82,0.83,0.81,0.78,0.77,0.72,0.75,0.63,0.73,5.8,5.64,0.4
